1,Chicken,Original
2,Mallard,Original
3,Baby Duck,Original
4,Kiwi,Original
5,Poopy Pigeon,Original
6,Giddy Goat,Original
7,Fluffy Sheep,Original
8,Black Sheep,Original
9,Cow,Original
10,Mad Bull,Original
11,Big Fat Pig,Original
12,Thoroughbred,Original
13,Unihorse,Original
14,Scruffy Dog,Original
15,Marmalade Dog,Original
16,Pew Die Pug,Original
17,Doge,Original
18,Wolf,Original
19,Lucky Cat,Original
20,Unlucky Cat,Original
21,Tabby Cat,Original
22,Brown Bunny,Original
23,Grey Bunny,Original
24,Lovely Bunny,Original
25,Capybara,Original
26,Tree Frog,Original
27,Swamp Frog,Original
28,Desert Frog,Original
29,Jungle Frog,Original
30,Penguin,Original
31,Floppy Fish,Original
32,Fast Tortoise,Original
33,Swift Snail,Original
34,Flea,Original
35,Crazy Ol' Ben,Original
36,Celebrity,Original
37,Hot Shot,Original
38,Baller,Original
39,Mad Wizard,Original
40,The Dark Lord,Original
41,Grave Digger,Original
42,Ghost,Original
43,Vampire,Original
44,Frankenstein,Original
45,Zombie,Original
46,Specimen 115,Original
47,Rusty Robot,Original
48,Android Robot,Original
49,Forget-Me-Not,Original
50,Epoch,Original
51,Hipster Whale,Original
52,Festive Chicken,Christmas Update 
53,Dragon,Christmas Update 
54,Gifty,Christmas Update 
55,Emo Goose,Australian Update 
56,Kangaroo,Australian Update 
57,Platypus,Australian Update 
58,Echidna,Australian Update 
59,Kookaburra,Australian Update 
60,Wombat,Australian Update 
61,Koala,Australian Update 
62,Dingo,Australian Update 
63,Cockatoo,Australian Update 
64,Disco Zoo,Australian Update 
65,Crab,Australian Update 
66,Drop Bear,Australian Update 
67,Andy Sum,Australian Update 
68,Ben Weatherall,Australian Update 
69,Matt Hall,Australian Update 
70,Fortune Chicken,Chinese New Year Update 
71,Xi,Chinese New Year Update 
72,Cai Shen,Chinese New Year Update 
73,New Years Doll,Chinese New Year Update 
74,Chinese Monster,Chinese New Year Update 
75,#TheDress,UK & Ireland Update 
76,Butterfly,UK & Ireland Update 
77,Badger,UK & Ireland Update 
78,Fox,UK & Ireland Update 
79,Squirrel,UK & Ireland Update 
80,Queen's Guard,UK & Ireland Update 
81,Bobby,UK & Ireland Update 
82,Piper,UK & Ireland Update 
83,Fancy Lady,UK & Ireland Update 
84,Llama,UK & Ireland Update 
85,Fancy Gent,UK & Ireland Update 
86,Schoolgirl,UK & Ireland Update 
87,Fish N' Chips,UK & Ireland Update 
88,Chimney Sweep,UK & Ireland Update 
89,Phone Box,UK & Ireland Update 
90,Nessie,UK & Ireland Update 
91,Leprechaun,UK & Ireland Update 
92,Framed,Micro Update 
93,BAG-IT!,Micro Update 
94,Archie,Micro Update 
95,Jughead,Micro Update 
96,Michael Boom,Micro Update 
97,Rugby Player,Micro Update 
98,Seoul Chicken,Korean Update
99,K-Drama Actor,Korean Update
100,Jindo,Korean Update
101,Kimchi,Korean Update
102,Seonbi,Korean Update
103,Taekwondo Master,Korean Update
104,Korean BBQ,Korean Update
105,Korean Drummer,Korean Update
106,Pro Gamer,Korean Update
107,Skip,Pre Pac-Man Update
108,Rattles,Pre Pac-Man Update
109,3.1,Pre Pac-Man Update
110,Gazelle,Pre Pac-Man Update
111,Giraffe,Pre Pac-Man Update
112,Zebra,Pre Pac-Man Update
113,Blinky,Pac-Man Update
114,Clyde,Pac-Man Update
115,Inky,Pac-Man Update
116,Pac-Chicken,Pac-Man Update
117,Pac-Man,Pac-Man Update
118,Pinky,Pac-Man Update
119,Skeleton,Halloween Update
120,Witch,Halloween Update
121,Scaredy Cat,Halloween Update
122,Mummy,Halloween Update
123,Pumpkin,Halloween Update
124,Qw33goorpps,"Monument Valley, Land Sliders and Shooty Skies Update"
125,Hooty,"Monument Valley, Land Sliders and Shooty Skies Update"
126,Shooty Cat,"Monument Valley, Land Sliders and Shooty Skies Update"
127,Turny,"Monument Valley, Land Sliders and Shooty Skies Update"
128,Astronaut,"Monument Valley, Land Sliders and Shooty Skies Update"
129,Ida,"Monument Valley, Land Sliders and Shooty Skies Update"
130,A Crow,"Monument Valley, Land Sliders and Shooty Skies Update"
131,The Storyteller,"Monument Valley, Land Sliders and Shooty Skies Update"
132,Runner,Fitness Update
133,Cyclist,Fitness Update
134,Hurdler,Fitness Update
135,Snowman,Christmas Update 2015
136,Pudding,Christmas Update 2015
137,Reindeer,Christmas Update 2015
138,Tió de Nadal,Christmas Update 2015
139,Birthday Kid,Christmas Update 2015
140,Grablin,Christmas Update 2015
141,Purple Bloop,Christmas Update 2015
142,Yeti,Christmas Update 2015
143,Brazil Chicken,Brazil Update
144,Flag Bearer,Brazil Update
145,Carnaval,Brazil Update
146,Capoeira,Brazil Update
147,Jaguar,Brazil Update
148,Blue Macaw,Brazil Update
149,Marmoset,Brazil Update
150,Football Player,Brazil Update
151,Pandeiro,Brazil Update
152,Toucan,Brazil Update
153,Tourist,Brazil Update
154,Maned Wolf,Brazil Update
155,Coconut Water,Brazil Update
156,Mickey Mouse Costume Chicken,Disney Crossy Road Update 2016
157,Spring Hare,Disney Crossy Road Update 2016
158,Piggy Bank,Pay Only Mascots 
159,Psy,Pay Only Mascots
